model,variable,winsor_rate,lower_quantile,upper_quantile,lower_bound,upper_bound
winsor_1pct,eff,0.01,0.01,0.99,0.27666472916,1.0736302615899997
winsor_1pct,lntl,0.01,0.01,0.99,0.09571911679,2.85127252989
winsor_1pct,ind,0.01,0.01,0.99,0.182762,0.50361
winsor_1pct,urb,0.01,0.01,0.99,0.44396,0.892688
winsor_1pct,rd,0.01,0.01,0.99,0.004739,0.06389299999999998
winsor_1pct,open,0.01,0.01,0.99,0.011785,1.0315959999999997
winsor_1pct,es,0.01,0.01,0.99,0.011214746,0.6082058025199998
winsor_5pct,eff,0.05,0.05,0.95,0.2949903692,1.0082815636
winsor_5pct,lntl,0.05,0.05,0.95,0.20351448580000003,1.9237625645999994
winsor_5pct,ind,0.05,0.05,0.95,0.22349,0.4892
winsor_5pct,urb,0.05,0.05,0.95,0.482625,0.87103
winsor_5pct,rd,0.05,0.05,0.95,0.0056,0.04007999999999998
winsor_5pct,open,0.05,0.05,0.95,0.03608000000000001,0.8137699999999991
winsor_5pct,es,0.05,0.05,0.95,0.09114881200000001,0.5582417304499999
